bidId	timestamp	logType	ipinyouId	userAgent	ip	region	city	adExchange	domain	url	anonymousURLID	adSlotID	adSlotWidth	adSlotHeight	adSlotVisibility	adSlotFormat	adSlotFloorPrice	creativeID	biddingPrice	payingPrice	homePage
c664386ec6e82748041166b2db11602f	20130311195547799	2	2d1e5f1bbde3daf1e87e5d4b58bc45d2	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.12 (KHTML, like Gecko) Maxthon/3.0 Chrome/18.0.966.0 Safari/535.12	125.123.45.*	94	98	2	kDsuqx9vdo5bgYMf5SqfNX	ddf57d3266e44c0db001ed0d8cc59300	null	3252010289	160	600	1	0	5	51fd94f6624989b7cecbc307f00f97f7	300	0	9f4e2f16b6873a7eb504df6f61b24044
f6103ef7c7bf20a2ce4aa8fd45281494	20130311195707743	2	44682d893f105899c3113d0bb55c08dd	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; QQDownload 718; .NET CLR 2.0.50727; msn OptimizedIE8;ZHCN)	59.174.172.*	183	184	2	lJ1bGx50do1vFYuYumpWUvj	2d1f6524480bd50b3bd5a951bee1b7b	null	1644508404	300	250	2	0	5	d683498a1e531a0f3621d2f7b0a9dcf7	300	0	9f4e2f16b6873a7eb504df6f61b24044
4a63ec994ee90fe8ac4b8706856b7e53	20130311195524810	2	8c65a4409a1c3b893669597964ec61af	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727)	122.227.37.*	94	101	2	trqRTudNBqsoJsMxuAurN5x_bZjiYd56	ec1394776c32b06708db4b64522e1728	null	3191853373	160	600	2	0	4	51fd94f6624989b7cecbc307f00f97f7	300	0	9f4e2f16b6873a7eb504df6f61b24044
93ab25d5032a9aa716b53c56020c09c4	20130311195906363	2	490a38ecdfa054a9f726135ae1dd3d92	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	114.249.146.*	1	1	2	null	4580dc337ae2012e12e653d84288b9cf	null	115793641	160	600	2	0	110	51fd94f6624989b7cecbc307f00f97f7	300	0	9f4e2f16b6873a7eb504df6f61b24044
e58ad1ee7fb299ab4cd8a3fe1b3fe352	20130311195914926	2	8165d88eabbade40665d140221978b42	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)	58.208.222.*	80	85	1	trqRTJnIMTKI1m58uG	61c18a07d88af19297f7305ce3ba37bf	null	mm_29394861_2683020_9680940	950	90	1	1	0	8f86b069dbb8898e2beca5ec3030e147	300	0	df6f61b2409f4e2f16b6873a7eb50444
ccf6e3c61a57b9bf7d3d7251fd973646	20130311195633458	2	fab9d2293d83886061045c51495dfaba	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727)	58.211.96.*	80	85	2	trqRTua8XIl7gsz	dace0f883b599d77a7548d1c5c3b55ac	null	3051157782	728	90	1	0	5	fb82c5506a7745b09752a995de85c708	300	0	9f4e2f16b6873a7eb504df6f61b24044
8a3893f92dcaa1daecd28f003c581a3b	20130311195601850	2	a2a24829b912c9978d43c6401ee61c59	Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0	211.97.28.*	216	230	2	DFpETumJGNT71m54	da10d4efc78d3a5e0a147fb970b84c9f	null	823937420	728	90	2	0	5	fb82c5506a7745b09752a995de85c708	300	0	9f4e2f16b6873a7eb504df6f61b24044
af1a4ab768ebaf7d708378bea15d0d05	20130311174941951	2	10fe6d98b41a5e7e9901b9d35e1766ac	Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1 LBBROWSER	60.220.225.*	15	19	3	kK1gq61NdoTy1m58uG	5d4e5e7d01e60c69ced6b47f8ef73ec4	null	ALLINONE_F_Width1	1000	90	0	0	50	ebbd8035bba9def2a673154ee2486e7a	300	0	3a7eb50444df6f61b2409f4e2f16b687
abf2bcec7150f10ff41d022f49fb2db4	20130311174843757	2	f5a7fd660a3fb6b85c783d3cbd0c50f8	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	202.107.8.*	40	54	3	DD1SqS9rg5scFsf	2740bfad3291a89980d095cd3f4fb519	null	Auto_F_Upright	300	250	0	0	20	cfe9f50e234d74317336d04dfa3494a3	300	0	3a7eb50444df6f61b2409f4e2f16b687
40341a483fe89f0a40ce5399b11bc716	20130311174924316	2	b8a34185a256cff62a60adeac91a65ac	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	182.240.189.*	308	308	3	ersbQv1RdoTy1m58uG	97c4885bbafba8c113fd2eaaac48b17b	null	Sports_F_Upright	300	250	0	0	10	cfe9f50e234d74317336d04dfa3494a3	300	0	3a7eb50444df6f61b2409f4e2f16b687
